hierarchy;id_category;prazo
22887 - Bebês e Crianças/Andadores e Carrinhos/Outros;22887;7 - 30
22888 - Esporte e Lazer/Fitness e Musculação/Aparelhos de Ginástica;22888;7 - 30
22889 - Bebês e Crianças/Andadores e Carrinhos/Acessórios de Carrinho;22889;7 - 30
22890 - Esporte e Lazer/Fitness e Musculação/Acessórios;22890;7 - 30
22891 - Bebês e Crianças/Andadores e Carrinhos/Os Carrinhos de Criança;22891;7 - 30
22892 - Bebês e Crianças/Andadores e Carrinhos/Andadores e Cama de Pula-Pula Elástica;22892;7 - 30
22893 - Esporte e Lazer/Fitness e Musculação/Outros;22893;7 - 30
22896 - Eletros e Portáteis/Eletrodomésticos/Fogão & Exaustor;22896;7 - 30
22897 - Eletros e Portáteis/Eletrodomésticos/Freezer;22897;7 - 30
22898 - Bebês e Crianças/Quarto do Bebê/Artigos de Cama;22898;7 - 30
22899 - Bebês e Crianças/Quarto do Bebê/Cobertas, Cueiros e Sacos de Dormir;22899;7 - 30
22900 - Eletros e Portáteis/Eletrodomésticos/Microondas;22900;7 - 30
22901 - Esporte e Lazer/Acessórios Esportivos Gerais/Engrenagens Esportivas;22901;7 - 30
22902 - Esporte e Lazer/Acessórios Esportivos Gerais/Suportes, Tapes & Suspensórios;22902;7 - 30
22903 - Eletros e Portáteis/Eletrodomésticos/Outros;22903;7 - 30
22904 - Bebês e Crianças/Quarto do Bebê/Berço;22904;7 - 30
22905 - Eletros e Portáteis/Eletrodomésticos/Fornos;22905;7 - 30
22906 - Bebês e Crianças/Quarto do Bebê/Móvel Nursery;22906;7 - 30
27003 - Calçados/Botas/Botas Masculinas;27003;7 - 30
22908 - Bebês e Crianças/Quarto do Bebê/Tela Mosquiteira;22908;7 - 30
22909 - Bebês e Crianças/Quarto do Bebê/Outros;22909;7 - 30
22910 - Eletros e Portáteis/Eletrodomésticos/Bebedouro;22910;7 - 30
27008 - Calçados/Mocassins & Slip-Ons/Mocassins & Slip-Ons Masculinos;27008;7 - 30
27009 - Calçados/Mocassins & Slip-Ons/Mocassins & Slip-Ons Femininos;27009;7 - 30
22914 - Esporte e Lazer/Acessórios Esportivos Gerais/Outros;22914;7 - 30
27011 - Calçados/Saltos Altos/Saltos Altos;27011;7 - 30
22917 - Eletros e Portáteis/Outros/Outros;22917;7 - 30
24641 - Bebês e Crianças/Quarto do Bebê/Travesseiros;24641;7 - 30
22252 - Casa, Cozinha e Decoração/Materiais de Limpeza e Lavanderia/Ferramentas de Limpeza;22252;7 - 30
27031 - Áudio, Eletrônicos e Câmeras/Câmera e Acessórios/Drones e Acessórios;27031;7 - 30
27020 - Calçados/Outros/Outros;27020;7 - 30
27023 - Áudio, Eletrônicos e Câmeras/Outros/Outros;27023;7 - 30
27032 - Áudio, Eletrônicos e Câmeras/Câmera e Acessórios/Acessórios para Câmeras;27032;7 - 30
22930 - Bebês e Crianças/Artigos de Segurança para Bebês/Acessórios de Anti-Perda;22930;7 - 30
27027 - Áudio, Eletrônicos e Câmeras/Acessórios para TV/Outros;27027;7 - 30
22934 - Eletros e Portáteis/Eletroportáteis/Cafeteiras e Acessórios;22934;7 - 30
22935 - Eletros e Portáteis/Eletroportáteis/Chaleiras Elétricas e Panelas Elétricas;22935;7 - 30
22936 - Eletros e Portáteis/Eletroportáteis/Sanduicheiras Elétricas;22936;7 - 30
22596 - Roupas Masculinas/Roupas Esportivas e de Praia/Roupa de Treinameto;22596;7 - 30
22938 - Bebês e Crianças/Artigos de Segurança para Bebês/Monitor de Bebê;22938;7 - 30
22939 - Eletros e Portáteis/Eletroportáteis/Fritadeiras Elétricas;22939;7 - 30
22940 - Bebês e Crianças/Artigos de Segurança para Bebês/Protetores de Canto e Borda;22940;7 - 30
22941 - Eletros e Portáteis/Eletroportáteis/Espremedores e Extratores de Frutas;22941;7 - 30
22942 - Bebês e Crianças/Artigos de Segurança para Bebês/Outras;22942;7 - 30
22943 - Eletros e Portáteis/Eletroportáteis/Liquidificadores;22943;7 - 30
22944 - Bebês e Crianças/Artigos de Segurança para Bebês/Trava de Segurança;22944;7 - 30
22945 - Eletros e Portáteis/Eletroportáteis/Outros;22945;7 - 30
22946 - Eletros e Portáteis/Eletroportáteis/Fornos;22946;7 - 30
22947 - Eletros e Portáteis/Eletroportáteis/Panela de Arroz Elétrica;22947;7 - 30
22948 - Eletros e Portáteis/Eletroportáteis/Panelas Profissional;22948;7 - 30
27045 - Áudio, Eletrônicos e Câmeras/Áudio/Home Theater;27045;7 - 30
27046 - Áudio, Eletrônicos e Câmeras/Áudio/Microfones;27046;7 - 30
27047 - Áudio, Eletrônicos e Câmeras/Áudio/Rádios;27047;7 - 30
22952 - Bebês e Crianças/Artigos de Bebê para Banho/Banheiras;22952;7 - 30
22953 - Bebês e Crianças/Artigos de Bebê para Banho/Cuidados com Unha e Cabelo;22953;7 - 30
22954 - Bebês e Crianças/Artigos de Bebê para Banho/Pomada & Loção;22954;7 - 30
22955 - Bebês e Crianças/Artigos de Bebê para Banho/Higiene Bucal;22955;7 - 30
27052 - Eletros e Portáteis/Eletroportáteis/Máquinas de Costura;27052;7 - 30
22957 - Bebês e Crianças/Artigos de Bebê para Banho/Outros;22957;7 - 30
22958 - Bebês e Crianças/Artigos de Bebê para Banho/Shampoos e Condicionadores;22958;7 - 30
27037 - Áudio, Eletrônicos e Câmeras/TVs/TV LCD;27037;7 - 30
22960 - Bebês e Crianças/Artigos de Bebê para Banho/Boné de Chuveiro;22960;7 - 30
22962 - Bebês e Crianças/Artigos de Bebê para Banho/Cuidados com a Pele;22962;7 - 30
22965 - Bebês e Crianças/Artigos de Bebê para Banho/Talco;22965;7 - 30
22966 - Bebês e Crianças/Artigos de Bebê para Banho/Toalhas Infantis & Lenços Umidecidos;22966;7 - 30
25017 - Papelaria/Artes e Pinturas/Artes e Pinturas;25017;7 - 30
25019 - Papelaria/Diários e Cadernos/Diários e Cadernos;25019;7 - 30
25021 - Papelaria/Outras/Outras;25021;7 - 30
22974 - Esporte e Lazer/Artes Marciais/Aparelhos de Proteção;22974;7 - 30
22975 - Esporte e Lazer/Artes Marciais/Equipamento de Treinamento;22975;7 - 30
25025 - Papelaria/Adesivos e Fitas/Adesivos e Fitas;25025;7 - 30
25027 - Papelaria/Lápis e Canetas/Lápis e Canetas;25027;7 - 30
22980 - Eletros e Portáteis/Máquinas de Lavar e Secar/Secadores de Roupas;22980;7 - 30
22981 - Eletros e Portáteis/Máquinas de Lavar e Secar/Outras;22981;7 - 30
22982 - Eletros e Portáteis/Máquinas de Lavar e Secar/Acessórios de Secadores e Lavadores de Roupa;22982;7 - 30
22983 - Eletros e Portáteis/Máquinas de Lavar e Secar/Máquina de Lavar;22983;7 - 30
22984 - Bebês e Crianças/Roupas para Meninos/Pijamas para Meninos;22984;7 - 30
22985 - Bebês e Crianças/Roupas para Meninos/Calças para Meninos;22985;7 - 30
22986 - Bebês e Crianças/Roupas para Meninos/Camisa Social de Meninos;22986;7 - 30
